,Year,Player,Pos,Age,G,PER,MPG,PPG,APG,RPG,TOPG,BPG,SPG,salary17_18
78,2017.0,Ian Clark,SG,25.0,77.0,13.1,14.766233766233766,6.8441558441558445,1.1688311688311688,1.5844155844155845,0.7142857142857143,0.1038961038961039,0.5064935064935064,1.57723
79,2017.0,Jordan Clarkson,SG,24.0,82.0,13.1,29.23170731707317,14.695121951219512,2.597560975609756,3.0,2.0,0.0975609756097561,1.0731707317073171,11.5625
80,2017.0,Darren Collison,PG,29.0,68.0,15.3,30.33823529411765,13.235294117647058,4.588235294117647,2.25,1.6764705882352942,0.1323529411764706,0.9852941176470589,10.0
81,2017.0,Nick Collison,PF,36.0,20.0,12.8,6.4,1.65,0.6,1.5,0.2,0.1,0.1,2.328652
82,2017.0,Mike Conley,PG,29.0,69.0,23.2,33.21739130434783,20.507246376811594,6.27536231884058,3.5072463768115942,2.260869565217391,0.2753623188405797,1.3333333333333333,28.530608
83,2017.0,Pat Connaughton,SG,24.0,39.0,11.8,8.102564102564102,2.5128205128205128,0.717948717948718,1.3333333333333333,0.4358974358974359,0.05128205128205128,0.15384615384615385,1.471382
84,2017.0,Quinn Cook,PG,23.0,14.0,11.8,13.428571428571429,5.642857142857143,1.8571428571428572,0.5,0.9285714285714286,0.0,0.2857142857142857,0.1
85,2017.0,Quinn Cook,PG,23.0,14.0,11.8,13.428571428571429,5.642857142857143,1.8571428571428572,0.5,0.9285714285714286,0.0,0.2857142857142857,0.025
86,2017.0,DeMarcus Cousins,C,26.0,72.0,25.7,34.236111111111114,26.97222222222222,4.611111111111111,11.069444444444445,3.736111111111111,1.2777777777777777,1.3888888888888888,18.06385
87,2017.0,Robert Covington,SF,26.0,67.0,13.2,31.62686567164179,12.895522388059701,1.5223880597014925,6.507462686567164,1.955223880597015,1.0298507462686568,1.8955223880597014,16.698103
88,2017.0,Allen Crabbe,SG,24.0,79.0,11.6,28.531645569620252,10.69620253164557,1.1772151898734178,2.848101265822785,0.7848101265822784,0.25316455696202533,0.6835443037974683,19.3325
89,2017.0,Jamal Crawford,SG,36.0,82.0,12.0,26.304878048780488,12.292682926829269,2.597560975609756,1.5731707317073171,1.6341463414634145,0.17073170731707318,0.7195121951219512,10.942762
90,2017.0,Jamal Crawford,SG,36.0,82.0,12.0,26.304878048780488,12.292682926829269,2.597560975609756,1.5731707317073171,1.6341463414634145,0.17073170731707318,0.7195121951219512,4.328
91,2017.0,Jordan Crawford,SG,28.0,19.0,17.6,23.263157894736842,14.052631578947368,3.0,1.7894736842105263,1.3157894736842106,0.10526315789473684,0.5789473684210527,0.25
92,2017.0,Jae Crowder,SF,26.0,72.0,14.9,32.43055555555556,13.875,2.1527777777777777,5.763888888888889,1.0972222222222223,0.3194444444444444,1.0,6.796117
93,2017.0,Dante Cunningham,SF,29.0,66.0,10.2,24.984848484848484,6.590909090909091,0.5454545454545454,4.196969696969697,0.42424242424242425,0.42424242424242425,0.5909090909090909,2.3
